group,tier,pair,id,image_path,gold_specific,country,language
control,non_confusing,,1644992245126,SL cleaned Images/1644992245126.jpg,20,LK,mixed
control,non_confusing,,1593662614150,Sri Lanka/1593662614150.jpg,20,LK,mixed
control,non_confusing,,1641440254980,SL cleaned Images/1641440254980.jpg,29,LK,mixed
control,non_confusing,,1597382116993,Sri Lanka/1597382116993.jpg,21,LK,mixed
control,non_confusing,,1598503539528,Sri Lanka/1598503539528.jpg,21,LK,mixed
control,non_confusing,,1668148572573,SL cleaned Images/1668148572573.jpg,9,LK,mixed
control,non_confusing,,1540535621875,Sri Lanka/1540535621875.jpg,20,LK,mixed
control,non_confusing,,1600838375371,Sri Lanka/1600838375371.jpg,20,LK,mixed
control,non_confusing,,1636607024497,SL cleaned Images/1636607024497.jpg,20,LK,mixed
control,non_confusing,,1593495453603,Sri Lanka/1593495453603.jpg,28,LK,mixed
control,non_confusing,,1599192958559,Sri Lanka/1599192958559.jpg,20,LK,mixed
control,non_confusing,,1632807565114,SL cleaned Images/1632807565114.jpg,29,LK,mixed
control,non_confusing,,1594187835288,Sri Lanka/1594187835288.jpg,29,LK,mixed
control,non_confusing,,1540272468896,Sri Lanka/1540272468896.jpg,20,LK,mixed
control,non_confusing,,1599541334335,Sri Lanka/1599541334335.jpg,20,LK,mixed
control,non_confusing,,1598414995590,Sri Lanka/1598414995590.jpg,20,LK,mixed
control,non_confusing,,1666162533666,SL cleaned Images/1666162533666.jpg,9,LK,mixed
control,non_confusing,,1600149332707,Sri Lanka/1600149332707.jpg,29,LK,mixed
control,non_confusing,,1599540670418,Sri Lanka/1599540670418.jpg,20,LK,mixed
control,non_confusing,,1599195982095,Sri Lanka/1599195982095.jpg,20,LK,mixed
control,non_confusing,,1601349231505,Sri Lanka/1601349231505.jpg,21,LK,mixed
control,non_confusing,,1599120331643,Sri Lanka/1599120331643.jpg,20,LK,mixed
control,non_confusing,,1593753708626,Sri Lanka/1593753708626.jpg,20,LK,mixed
control,non_confusing,,1645761790656,SL cleaned Images/1645761790656.jpg,20,LK,mixed
control,non_confusing,,1593148880940,Sri Lanka/1593148880940.jpg,21,LK,mixed
control,non_confusing,,1627450490178,Pakistan/1627450490178.jpg,20,PK,en_only
control,non_confusing,,1627531904932,Pakistan/1627531904932.jpg,20,PK,en_only
control,non_confusing,,1627625926956,Pakistan/1627625926956.jpg,20,PK,en_only
control,non_confusing,,1630468760584,Pakistan/1630468760584.jpg,20,PK,en_only
control,non_confusing,,1630553430697,Pakistan/1630553430697.jpg,20,PK,en_only
control,non_confusing,,1630134184625,Pakistan/1630134184625.jpg,20,PK,na
control,non_confusing,,1627709035991,Pakistan/1627709035991.jpg,20,PK,na
control,non_confusing,,1628096106375,Pakistan/1628096106375.jpg,20,PK,na
control,non_confusing,,1627980144278,Pakistan/1627980144278.jpg,20,PK,na
